title,plot,genres
The Last Legion,"Circa 460 A.D. Mira was born in a warrior-family in Kerala, India, was well versed in martial arts and self-defense, so much so that she was recruited by the Spanish royalty and re-located to Constantinople. From there she was instructed to assist Roman Commander Aurelius to plan the escape of 12-year old Romulus Augustus Caesar from a prison in Capri after his parents had been killed by the leader of the Alliance in turmoil-stricken Rome that has seen the deaths of five emperors in five years. Mira, Aurelius, and a Priest, Ambrosinius, along with a handful of loyal soldiers were successful in the escape plan and deliver Romulus to Roman Senator Nestor. What the crew do not realize is that their task is not over yet, for Nestor is all set to betray Romulus, leaving them with no alternative but to flee to Britannia, where they will be forced to confront a seemingly invincible Vortygn, whose main aim is to obtain a powerful sword that was meant for defense and defeat, and also ensure the death of Romulus at any and all costs.","['Action', 'Adventure', 'History', 'War']"
Saving Private Ryan,"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...","['Drama', 'War']"
Need for Speed,"Framed by an ex-partner for a murder he did not commit, Tobey Marshall, a financially struggling custom-car builder and street-racer, spends two years in jail thinking about one moment. Fresh out of prison he reacquires the fastest car his workshop ever built and sold, and seeks to enter a secretive and extremely high-stakes race known as The DeLeon. His purpose; redemption, recognition from the world of racing and to solve his problems. Yet all this fades in comparison to his driving reason. Revenge. Above all, revenge. This is a story about love, redemption, revenge and motor oil all swirled together","['Action', 'Crime', 'Thriller']"
What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against his new boss Darcy, who seems to be infatuated with him.","['Comedy', 'Fantasy', 'Romance']"
Ice Age,"Back when the Earth was being overrun by glaciers, and animals were scurrying to save themselves from the upcoming Ice Age, a sloth named Sid, a woolly mammoth named Manny, and a saber-toothed tiger named Diego are forced to become unlikely heroes. The three reluctantly come together when they have to return a human child to its father while braving the deadly elements of the impending Ice Age.","['Animation', 'Adventure', 'Comedy', 'Family']"
Dreamcatcher,"Four childhood friends, Jonesy, Beaver, Pete and Henry all share a special secret. Each year, they take a trip into Maine woods. This year is different. A blizzard occurs, and they recover a man found wandering around. Unbeknownst to them, this wandering individual isn't the only being to be found. Now they must act fast to stop the outbreak developing and to prevent the world from its doom.","['Drama', 'Horror', 'Sci-Fi', 'Thriller']"
Lincoln,"In 1865, as the American Civil War winds inexorably toward conclusion, U.S. president Abraham Lincoln endeavors to achieve passage of the landmark constitutional amendment which will forever ban slavery from the United States. However, his task is a race against time, for peace may come at any time, and if it comes before the amendment is passed, the returning southern states will stop it before it can become law. Lincoln must, by almost any means possible, obtain enough votes from a recalcitrant Congress before peace arrives and it is too late. Yet the president is torn, as an early peace would save thousands of lives. As the nation confronts its conscience over the freedom of its entire population, Lincoln faces his own crisis of conscience -- end slavery or end the war.","['Biography', 'Drama', 'History', 'War']"
The Matrix,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.","['Action', 'Sci-Fi']"
Apollo 13,"This Hollywood drama is based on the events of the Apollo 13 lunar mission, astronauts Jim Lovell, Fred Haise and Jack Swigert find everything going according to plan after leaving Earth's orbit. However, when an oxygen tank explodes, the scheduled moon landing is called off. Subsequent tensions within the crew and numerous technical problems threaten both the astronauts' survival and their safe return to Earth.","['Adventure', 'Drama', 'History']"
The Santa Clause 2,"Scott Calvin has been Santa Claus for the past eight years, and his loyal elves consider him the best Santa ever. But he's got problems, such as a mysterious weight loss, and then he discovers that his son, Charlie, has landed on this year's naughty list. Desperate to help him, Scott heads back home, putting a substitute Santa in charge of the North Pole. But when the substitute institutes some strange redefinition of naughty and nice that put Christmas at risk, Scott must return with a new bag of magic to save Christmas.","['Comedy', 'Family', 'Fantasy']"
Les Misérables,"Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion.","['Drama', 'Musical', 'Romance']"
